,Col1,Col2,Col3,Col4,Col5,Col6,Col7
39,"Agros Biotechnology, CO",P.O. Box 127,919-259-8340,HP 15,Plumtree,NC,28664
40,Ahven LLC,105 Coorsdale Dr,919-444-1831,HP 997,Cary,NC,27511
41,Akhenaten Extracts Inc,1051 Elchenburg Castle Place,336-415-1553,HP 345,Boonville,NC,27011
42,Ala - CAS Botanicals,7086-B Paschal Road,336-214-5772,HP 1054,Burlington,NC,27217
43,Alchemy Farms,6200 Gail Drive,704-628-6315,HP 1274,Indian Trail,NC,28079
44,All Natural Carolina Hemp Company,2715 Sigmon Dairy Road,704-779-8826,HP 678,Newton,NC,28658
45,All Natural Farms LLC,5068 US-64,877-807-1023,HP 16,Franklinville,NC,27248
46,"Alliance One Specialty Products, LLC",,252-206-3203,HP 593,Wilson,NC,27894
47,"Allure Hemp Products, Inc",10327 NC  HWY 49 N,678-896-1575,HP 519,Mount Pleasant,NC,28124
48,Aloha Plus LLC,9650 Leesville Rd,919-961-0067,HP 1201,Raleigh,NC,27613
49,Alternative Health Distribution  LL(2),1324 McEnture Road,828-255-9881,HP 17,Rutherfordton,NC,28139
50,Alternative Health Distribution LLC (1,4359 N NC 16 Business Hwy Unit 1,,HP 366,Denver,NC,28037
51,Amara CBD,2499 Town Mountain Rd.,828-708-3216,HP 735,Asheville,NC,28804
52,Amazing Concepts LLC,2141 Meadowbrook Rd,203-500-5708,HP 972,Rocky Mount,NC,27801
53,AMAZING HEMP,2141 Meadowbrook Rd.,404-713-1272,HP 999,Rocky Mount,NC,27801
54,American Culnation and Extraction S,7780 NC-135,336-544-1072,HP 631,Mayodan,NC,27027
55,"American Hemp, LLC",1959 N Peace Haven Road #176,336-529-7968,HP 18,Winston Salem,NC,27106
56,AMK  Limitless LLC,1427A Boulder Court,336-541-5158,HP 719,Greensboro,NC,27409
57,Apostolic Hippie,527 Foxlair Drive,785-236-1572,HP 1269,Fayetteville,NC,28311
58,Appa Life Co.,104 S. Beverly Dr. #104B,561-598-1437,HP 562,Locust,NC,28097
59,Appalachian CBD LLC,775 Charlotte Hwy,828-777-0719,HP 803,Fairview,NC,28730
60,Appalachian Extracts LLC,329 Emma Road,828-255-9881,HP 19,Asheville,NC,28806
61,"Appalachian Growers, LLC",397 Luther Raby Road,828-226-3257,HP 20,Franklin,NC,28734
62,"Appalachian Hemp Company, LLC",91 Holbrook Rd,828-545-9949,HP 21,Candler,NC,28715
63,Appalachian High Hemp,1053 Friendship Rd,336-877-7804,HP 945,Jefferson,NC,28640
64,Appalasia Farm,136 Dix Creek Chapel Road,828-275-3999,HP 847,Asheville,NC,28806
65,April Nicole Durham,2722 Immanuel Road,336-907-3451,HP 1096,Greensboro,NC,27407
66,"Aquado, Marcella",2014 South Main Street #604,919-480-3190,HP 353,Wake Forest,NC,27513
67,Arnold Dale Thomas,85 Elk Run,828-774-0463,HP 779,Mars Hill,NC,28754
68,"Arrowhead Hemp Farm, LLC",1005 Dinkins Road,336-971-8877,HP 1087,Lewisville,NC,27023
69,Arrowhead Hemp Farms LLC,255 Potato Branch Rd,901-326-5016,HP 350,Leicester,NC,28748
70,"Arrowood, Aaron",3226 Taylorsville Highway,"828-292-4610,828-640-8540",HP 23,Statesville,NC,28624
71,"Art of Undoing, LLC",44 Merrimon Ave,904-316-4886,HP 24,Asheville,NC,28801
72,Asher Mcadams Healthwise Pharmac,305 Trollinger Street,336-226-1619,HP 25,Burlington,NC,27215
73,"Asheville Botanicals, LLC",133 Thompson Street Suite D,828-850-7607,HP 13,Asheville,NC,28803
74,Asheville Craft Cannabis,43 Smith Mill Rd,855-858-2420,HP 520,Asheville,NC,28806
75,Asheville Dispensary,919 Haywood Rd ste 111,828-230-3660,HP 26,Asheville,NC,28806
76,"Asheville Farms, LLC / Asheville Hem",792 Haywood Road,828-545-5393,HP 504,Asheville,NC,28806
77,Asheville Hemp,855 Merriman Ave,828-674-6283,HP 796,Asheville,NC,28804
78,Asheville Tea Company L.L.C.,7 Brevard Road,8285453341,HP 368,Asheville,NC,28806
79,Ashley Thomas,170 Elk Run,828-772-6674,HP 906,Mars Hill,NC,28754
80,Aspire  CBD Wellness,508 N. Daughtry St,678-733-4466,HP 900,Rocky Mount,NC,27801
81,Asterra Labs LLC,800 Cooke Road,919-376-6100,HP 1079,Nashville,NC,27856
82,Astro CBD,507 Briarwood Dr.,434-579-1572,HP 505,Eden,NC,27288
83,Astro Hemp Processor 2,3802 Parkwood Dr.,719-985-0324,HP 588,Greensboro,NC,27403
84,"Atalo Holdings, INC",4274 Colby Road,859-559-4550,HP 27,Winchester,KY,40391
85,"ATTL Products, INC",216 East Holly Hill Rd,336-474-3500,HP 28,Thomasville,NC,27360
86,"August 13, Inc",1050  Dalton Road,336-210-2078,HP 1000,Lewisville,NC,27023
87,Avazyme Laboratory,2202 Ellis Rd,508-317-2287,HP 29,Durham,NC,27703
88,Avery Farms,615 Avery Lane,828-733-5052,HP 743,Newland,NC,28657
89,Avient Biosciences,3040 Black Creek Road,919-614-7600,HP 260,Wilson,NC,27893
90,Avoca LLC,841 Avoca Farm Rd,252-482-2133,HP 692,Merry Hill,NC,27957
91,Azullu Inc,321 Atando Ave Suite C,704-618-1915,HP 322,Charlotte,NC,28206
92,B Warren & Co Farms,2500 Hedgepeth Rd,252-578-1991,HP 472,Halifax,NC,27839
93,B.I.G. Hempin Inc.,3387 Tarleton W.,336-253-4530,HP 450,Durham,NC,27713
94,Backporch Dispensary,4007 South New Hope Rd,704-914-7658,HP 843,Gastonia,NC,28065
95,Bake Marketing,1442 Hwy 96,615-585-5002,HP 658,Burns,TN,37209
96,Barry Saintsing,540 Community Road,336-782-8782,HP 948,Lexington,NC,27295
97,"Beachum Hemp, LLC",4747 Gold Hill Road East,704-640-9440,HP 848,Gold Hill,NC,28071
98,Bean and Buster’s Farm Fresh Produc,219 Hillside Music Road,919-244-4602,HP 30,Pittsboro,NC,27312
99,Bean to Brew Inc,8008 Corporate Center Drive,704-728-1678,HP 418,Charlotte,NC,28226
100,"Bear Fiber, INC",1059 Peace Haven Rd #176,910-352-8835,HP 31,Winston-Salem,NC,
101,Bear Foot Hemp Co.,21 Old  Red Barn Rd,828-214-5525,HP 897,Leicester,NC,28748
102,Bear Hayes Hemp Company LLC,252 Blackberry Inn Road,828-974-1504,HP 1075,Weaverville,NC,28787
103,Bear Paw Farms,5556 Murphy Rd.,919-986-7145,HP 615,Fayetteville,NC,28312
104,"Beck, Jeremy &Bivens, Maria",110 L Cotton Grove Rd,336-309-0992,HP 32,Lexington,NC,27292
105,Becky R. Raynor,317 King Road,910-934-7007,HP 786,Jacksonville,NC,28540
106,Beekeeper LLC,"5535 Memorial Drive, Suite F1277",832-528-6165,HP 1281,Houston,TX,77007
107,"Being Herself and Company, LLC (Wa",12520 Capital Blvd Suite 401-143,919980-5464,HP 452,Wake Forest,NC,27587
108,"Being Herself and Company, LLC (Wil",102 East Street SE,919980-5464,HP 451,Wilson,NC,27893
109,"Benchmark Nutriceuticals, LLC",1038 Culp Rd Ste 600,704-207-8254,HP 783,Pineville,NC,28134
110,Bent Creek Institute,100 Frederick Law Olmsted Way,828-333-5124,HP 539,Asheville,NC,28806
111,"Berrier, Shannon",889 E. King St.,336-692-4944,HP 550,King,NC,27021
112,Best Buds Extract LLC,6940 US Hwy 64 W,"919-200-1840 (Yosi,469-396-3258 (Mar",HP 929,Pittsboro,NC,27312
113,Bethany Casella,6200 Upton Pl,570-404-7539,HP 838,Lenoir,NC,28645
114,Bethesda Hemp,110 N. McNeil Street,910-409-0886,HP 33,Burgaw,NC,28425
115,Betty Wop Shop,11 Dilworth Circle Apt 205,828-989-2357,HP 267,Asheville,NC,28806
116,Beverly Chisholm,105 Inisfree Place,919-244-7638,HP 1070,Morrisville,NC,27560
117,Big Ivy Naturals,230 Buckner Branch Rd,828-713-4426,HP 797,Barnardsville,NC,28709
118,Big Love Farms,3348 Octavia Drive,301-741-0094,HP 630,Rocky Mount,NC,27804
119,Billy Styles,14328 Lawyers Rd,704-361-4088,HP 674,Mint Hill,NC,28227
120,Binzola Bio LLC,501 Daniel Street,202-787-9662,HP 35,Tarboro,NC,27886
121,Bio Hemp LLC,206 College Street Suite 144,980-888-5559,HP 432,Pineville,NC,28134
122,"Bio Lab Global, LLC",1127 Curtis Street Suite D,910-795-3381,HP 839,Monroe,NC,28112
123,"Biohemp Industries, INC",4242 Six Forks Road 15th floor,888-577-5560,HP 36,Raleigh,NC,27609
124,BioLeaf LLC,912 Garden Square Lane,919-587-6909,HP 765,Morrisville,NC,27560
125,"BioPhrex, LLC","50 Commerce Street Building 1, Unit 5",864-529-2108,HP 435,Brevard,NC,28712
126,Bird Lady Farms LLC,118 Yeagers Court,910-315-4189,HP 1209,Carthage,NC,28327
127,Blackbeard Provisions LLC,404 Old Swann Point Ave,910-616-1682,HP 862,Rocky Point,NC,28457
128,Blackbird Tattoo Gallery,2507 NC 226 S.,828-803-0036,HP 575,Marrion,NC,28752
129,BlackCherry's Dynasty,2505 Lourance Blvd C,336-638-1887,HP 1260,Greensboro,NC,27407
130,Blacklands Botanicals LLC,7533 NC-45,267-614-3967,HP 528,Belhaven,NC,27810
131,Bloomington Hemp Company LLC,24581 Austin Rd,704-668-2240,HP 751,Albemarle,NC,28001
132,Blossom,6117 Muirfield Dr.,336-497-1799,HP 529,Greensboro,NC,27410
133,Blue Mountain Hemp Company,10 Clover Brook Drive,828-319-7643,HP 268,Weaverville,NC,28787
134,"Blue Mountain Oils Co., LLC",613 1st Ave. N,828-243-6334,HP 291,Conover,NC,28613
135,Blue Ridge Aromatics,560 Pine Branch Road,828-545-3963,HP 37,Marshall,NC,28753
136,Blue Ridge CBD Company,904 S. New Hope Rd. STE H,704-836-7642,HP 554,Gastonia,NC,28054
137,"Blue Ridge Nutritionals, LLC",61 ½ N Lexington Ave,828-333-0806,HP 38,Asheville,NC,28801
138,Blue Ridge Resource Management LL,160 Grassy Knoll Way,606-224-1568,HP 653,Blowing Rock,NC,28605
139,"Blue Ridge Valet Services, LLC",88 Blazing Star Drive,704-956-5635,HP 39,Leicester,NC,28748
140,"Blue Rock Property Group, LLC",6000 Meadowbrook Mail Court,704-699-5174,HP 40,Clemmons,NC,27012
141,Body & Soul Labs LLC,78 Catawba Ave,828-678-1030,HP 1009,Old Fort,NC,28762
142,Boomer Extracts,1239 Old Salem Road,336-247-2724,HP 1268,Kernersville,NC,27284
143,Boone’s Cave Hemp,369 Henry Lomax Rd,803-730-1475,HP 907,Lexington,NC,27295
144,Boro Beverage Company,400 W. Rosemary Street Suite 1005,919-942-1110,HP 261,Chapel Hill,NC,27516
145,Bosal Enterprises Inc,601 B. Harper St,252-230-1187,HP 886,Wilson,NC,27893
146,Botanic Ade LLC,6309 Roles Saddle Drive,914-874-3308,HP 599,Rolesville,NC,27571
147,"Botanical Essence Hemp ENC, LLC",4814 Old Tar Road,252-258-5730,HP 41,Winterville,NC,28590
148,Boundless Life CBD,103 Salola St.,828-980-0434,HP 417,Asheville,NC,28806
149,Brandon Madrid,31 Spring Acres Ln,978-237-1216,HP 841,Asheville,NC,28711
150,Brandon Potts,730 Rocks Spring Church Rd,970-333-1386,HP 1018,Rutherfordton,NC,28139
151,"Brandstracts, LLC",22 Sheppard Drive,615-438-5446,HP 269,Asheville,NC,28806
152,"Brannock, Eric",2675 Riverside Drive,,HP 270,Mt. Airy,NC,27030
153,NA,100 Elks Club Road,828-884-8420,HP 477,Brevard,NC,28712
154,Brevard Hemp LLC(656),"5046 Boylston Hwy, Suite 4",828-708-2225,HP 656,Mills River,NC,28759
155,Brian Howard,160 Crater Road,704-437-9737,HP 659,Harmony,NC,28634
156,"Broadhead, Robert",48 Full Circle Trail,828-669-1785,HP 42,Black Mountain,NC,28711
157,Broadway Hemp Company,2626-C Fayetteville St.,919-799-0581,HP 43,Sanford,NC,27332
158,Bronson Cannon,379 Bradshaw Rd,980-335-8891,HP 1133,China Grove,NC,28125
159,"Brothers, Jane and Warren",5463 Paul’s Path Road,No phone number,HP 44,La Grange,NC,28551
160,"Bruce, Jeffrey",47 Hare Rdg,407-748-0255,HP 45,Asheville,NC,28803
161,Bruisin' Ales,66 Broadway Street Suite 1,828-252-8999,HP 373,Asheville,NC,28801
162,Brushy Bee CBD,610 Bethany Church Road,"336-921-1010,832-275-8936",HP 1092,Moravian Falls,NC,28654
163,"Bryk, Cory",5780 Mulberry Church Rd,828-719-0853,HP 407,Lenoir,NC,28645
164,BTEC-NCSU,850 Oval Drive,"919-515-8526,919-515-2000",HP 960,Raleigh,NC,27695
165,"Buddy Green, LLC",2402 Sky View Lane,919-357-8557,HP 1180,Burlington,NC,27215
166,"Bulls Tobacco, LLC",2201 W. Clemmonsville Rd.,336-893-9293,HP 46,Winston-Salem,NC,27127
167,Bumblebee Budd,PO Box 490,505-652-0669,HP 1223,Raeford,NC,28376
168,Bunting Hemp3,211 Walnut St,252-717-2033,HP 989,Oak City,NC,27857
169,Busted Bucket Farm,2517 Dalton Dr,336-214-5176,HP 806,Efland,NC,27243
170,"Byrd, Michael Justin",427 Matfield Ct.,704-254-1783,HP 530,Monroe,NC,28110
171,C B D Chris,303 Lexington St,252-557-7744,HP 885,Rocky Mount,NC,27801
172,"C&B Distributors, INC",201 S. Main St. PO Box 275,704-824-8515,HP 316,Lowell,NC,28098
173,"Cackalacky, Inc.",697 Hillsboro Street Suite 500,9199233190,HP 1126,Pittsboro,NC,27312
174,Caldwell Extension Center,120 Hospital Ave NE Suite 1,828-757-1290,HP 572,Lenoir,NC,28645
175,"Camag Scientific, Inc",515 Cornelius Harnett Dr.,800-334-3909,HP 790,Wilmington,NC,28401
176,"Camel City Hemp, LLC",1124 Louise Rd Unit 107,336-486-9310,HP 372,Winston-Salem,NC,27107
177,"Camino Group, LLC",850 Chancellor Park Dr. Ste C,828-260-8206,HP 53,Charlotte,NC,28213
178,Cane Creek Valley Farm & Co Inc,1448 Cane Creek Rd,"828-338-0188,864-915-8994",HP 660,Fletcher,NC,28732
179,Canna Direct USA,150 N. Research Campus Dr.,704-906-7043,HP 697,Kannapolis,NC,28081
180,Canna Queen Solutions,4700 Riverwood Circle #344,919-917-8330,HP 1162,Raleigh,NC,27612
181,Canna Queen Solutions LLC,210 Newton Rd #2002,919-917-8330,HP 1169,Raleigh,NC,27615
182,Cannabis Strategic Solutions Inc.,252 Lanier Place,804-731-5017,HP 317,Clayton,NC,27527
183,CannaBison LLC,8740 Bellhaven Blvd,704-252-0845,HP 1003,Charlotte,NC,28216
184,CannaHelpLLC,106 Cheyenne Trail,919-283-6903,HP 746,Wilmington,NC,28409
185,Cannalina,129 Bleachery Blvd #107,413-739-4367,HP 48,Asheville,NC,28805
186,CANNAPY,45 West Depot St,919-275-9119,HP 1264,Angier,NC,27501
187,CannaScience X LLC,1917 Oakland Drive,336-756-5441,HP 271,Winston-Salem,NC,27106
188,Cannavessel Labs,1515 Mockingbird Lane Ste 400,704-935-3568,HP 568,Charlotte,NC,28209
189,Cannifusion,3202 Wilkinson Blvd Unit 3Cb,704-345-9590,HP 47,Charlotte,NC,28208
190,Cantek LLC,1212 North Mineral Springs Road Building No. 3,336-409-0131,HP 560,Durham,NC,27703
191,"Cape Fear Hemp of Fayetteville,LLC",220 Myrover Street,352-538-0131,HP 742,Fayetteville,NC,28305
192,Capitol Smoke Inc,215 West Martin St,919-916-5966,HP 913,Raleigh,NC,27601
193,Capo Sales & Services,130 Staff Ln,803-804-8630,HP 1098,Mooresville,NC,28115
194,Cara M. Campbell,507 Mills River Way,828-489-1900,HP 715,Horse Shoe,NC,28742
195,"Care Botanicals Distributors, LLC(661)",102 Justice Ridge Road,828-712-9429,HP 661,Candler,NC,28715
196,"Care Botanicals Distributors, LLC(675)",102 Justic Ridge Road,828-712-9429,HP 675,Candler,NC,28715
197,Carmichael Brothers Distillery,17520 Wallace Way,910-361-4592,HP 1109,Laurinburg,NC,28352
198,"Carmichael Farms, LLC",20227 Old Maxton Rd.,910-276-5930,HP 400,Maxton,NC,28364
199,Carolina Ag Lab,17520 Wallace Way,910-361-4596,HP 1113,Laurinburg,NC,28352
200,Carolina Bay Derivatives,7381 Florence Rd,252-672-0000,HP 506,Merritt,NC,28556
201,"Carolina Botanicals, LLC",305 S. Main St.,843-457-7503,HP 589,Tabor City,NC,28463
202,Carolina Canna Co LLC,8507 Grace Meadow Court,828-713-0018,HP 52,Stokesdale,NC,27357
203,Carolina Cannabinoids LLC,5104 Reagan Drive Suite 4,403-998-5328,HP 361,Charlotte,NC,28206
204,Carolina Cannabis Co.,516 Pocomoke Rd.,919-971-0676,HP 272,Franklinton,NC,27596
205,Carolina Cannabis Company Inc.,6904 August Dr,336-782-2480,HP 351,Clemmons,NC,27012
206,Carolina Cannabis Lab,8725 Savage Rd,423-504-3554,HP 318,Sping Hope,NC,27882
207,"Carolina Cannacare Co., LLC",7825 Rhodhiss Rd,,HP 401,Connelly Springs,NC,28612
208,"Carolina CBD Hempire, LLC",4902 Wilkinson Blvd Ste E,704-813-2503,HP 755,Gastonia,NC,28056
209,Carolina Certified Organics LLC,1213 Dawkins St,984-234-2073,HP 1210,Durham,NC,27707
210,Carolina Crew Concentrates LLC,3013 Bonterra Blvd,704-441-6228,HP 854,Indian Trail,NC,28079
211,Carolina Cure LLC,3516 Song Sparrow Drive,919-576-7356,HP 740,Wake Forest,NC,27587
212,Carolina Flavor Inc,6932 Market St Suite I,910-228-7872,HP 925,Wilmington,NC,28411
213,Carolina Gold,816 Nanny Reams Lane,919-234-7248,HP 1014,Cary,NC,27519
214,Carolina Hemp Cabinet LLC,3625 Mt Holly Huntersville Rd,980-430-1099,HP 919,Charlotte,NC,28216
215,Carolina Hemp Depot LLC,2037 Martin Luther King Jr Dr.,,HP 620,Greensboro,NC,27406
216,Carolina Hemp Farmacy,1040 A Broad Street,252-259-4878,HP 1132,New Bern,NC,28560
217,"Carolina Hemp Products, Inc",1504 Cunningham Rd,252-523-9300,HP 273,Kinston,NC,28501
218,Carolina Hemp Refinery,800 Union Ridge Road,919-641-8691,HP 908,Burlington,NC,27217
219,Carolina Hemp Shop,426 S. Person St.,919-757-3652,HP 51,Raleigh,NC,27601
220,Carolina Hemp Supply,1126 Davenport Forks Rd,619-507-0237,HP 1235,Creswell,NC,27928
221,"Carolina Hemp Tours, Inc",213 Lorax Lane,910-985-0182,HP 903,Pittsboro,NC,27312
222,Carolina Hemp Traders,213 S. White Street,919-391-0247,HP 54,Wake Forest,NC,27587
223,Carolina Medical Investments LLC,695 South Bennett Street,910-687-4367,HP 384,Southern Pines,NC,28387
224,NA,Suite 113,919-209-8156,HP 753,Greenville,NC,27858
225,"Carolina Pharms, Inc",3304 Belaire Road,704-202-8160,HP 694,Mooresboro,NC,28114
226,Carolina Roots Wellness Collective,229 Sealane Way,919-656-0070,HP 832,Kure Beach,NC,28449
227,Carpenter and Siren Co-Op,74 Cumberland Ave. #3,828-702-2184,HP 613,Asheville,NC,28801
228,"Carter, Ashley",3585 Cottontail Lane,336-408-4718,HP 379,Winston Salem,NC,27127
229,Cassandra Hetteen,853 Merrimon Avenue,828-785-2410,HP 1071,Asheville,NC,28804
230,"Caswell Hemp Company, LLC",3642 Hwy 119 N.,336-213-8884,HP 61,Leasburg,NC,27291
231,Catawba River Farms,5215 Old Greenlee Road,336-403-2894,HP 727,Marion,NC,28752
232,Cavin's Green Energy Efficiency Cons,7427 Matthews Mint Hill Road Suit 105,704-560-8627,HP 346,Mint Hill,NC,28227
233,CBD & Me,2411 Greencrest Dr Apt. D,540-808-9557,HP 686,Charlotte,NC,28205
234,CBD Buddy LLC,236 W. Mongomery St.,252-657-8281,HP 592,Henderson,NC,27536
235,CBD Essentials For All,8450 Newfane Road,980-505-9092,HP 309,Charlotte,NC,28269
236,CBD Industries LLC - cbdMD,8845 Red Oak Blvd.,619-800-8084,HP 315,Charlotte,NC,28217
237,CBG Holdings LLC,162 Mine Lake Court #200,252-908-2661,HP 1026,Raleigh,NC,27615
238,CBZ HEMP,6570 Old Valley School Rd,,HP 1172,Kernersville,NC,27284
239,Ceiba Botanical Distribution LLC,146-A Weaverville Rd,828-450-2931,HP 358,Asheville,NC,28804
240,"Celadon Resources, LLC",288 Whitehouse Drive,704-400-7737,HP 683,Lincolnton,NC,28092
241,Celestial Hemp Co.,6422 University Pkwy,336-377-7046,HP 488,Rural Hall,NC,27045
242,Chad Pullins LLC,1319 Morgan Lane Apt B,,HP 324,Fayetteville,NC,28305
243,Charles Wiley,2603 Angier Ave,919-408-6649,HP 998,Durham,NC,27703
244,Charlotte CBD,2419 Central Ave,,HP 334,Charlotte,NC,28205
245,Chauncey Johnson,7009 Barefoot Forest Drive,336-268-0935,HP 1231,Charlotte,NC,28269
246,Chematron,5216 Hovis Road,704-392-4293,HP 55,Charlotte,NC,28208
247,Cherry Mountain,3147 Old Hwy 64 W,"828-372-2816,919-345-5670",HP 1171,Warne,NC,28909
248,Chill Bro Dude Co.,837 W 7th St,551-482-7826,HP 817,Winston-Salem,NC,27101
249,"Choice All Natural, Inc",1019 Classic Rd,919-629-8389,HP 605,Apex,NC,27539
250,Christopher Collins,3866 Parkway Vista Rd,336-471-8725,HP 1121,Greensboro,NC,27409
251,Christrian Breeding,340 Lake Point Lane,336-601-8771,HP 326,Belews Creek,NC,27009
252,Chrysalis Earth Farm,433 Crawford Cemetery Rd,561-504-4459,HP 1248,Sylva,NC,28779
253,Cider Moon Hemp,250 Potato Branch Rd,828-683-9626,HP 889,Leicester,NC,28748
254,CIJ Holdings Inc.,201 North Front St. Suite 404,833-334-2010,HP 388,Wilmington,NC,28401
255,Cindy DeVoursney,840 Thissa Way,615-653-8238,HP 1257,Brevard,NC,28712
256,City Trees Hemp LLC,111 Consortium Drive Unit 110,910-527-7409,HP 436,Raleigh,NC,27603
257,cLeod9.LLC,2017 North Center St,828-328-1397,HP 1236,Hickory,NC,28601
258,Clines Nursery,1901 Fallston Rd,704-487-9861,HP 1278,Shelby,NC,28150
259,Closer to the Land Farm,784 Rosser Road,919-478-1979,HP 56,Bear Creek,NC,27207
260,Cloudy Lanes LLP,605 E Innes Street #72,704-431-3811,HP 1266,Salisbury,NC,28144
261,Clover CBD,1029 Patton Ave,"828-417-9003,206-305-7402",HP 258,Asheville,NC,28804
262,"CMJ Holding, Inc",5710 Gate City BLVD,919-510-0228,HP 503,Greensboro,NC,27407
263,Coastal Labs NC LLC,288 Whitehouse Drive,778-839-7373,HP 672,Lincolnton,NC,28092
264,"CoCo Blossom Whipped, LLC",10712 Greatford Ct,980-474-0727,HP 1279,Charlotte,NC,28215
265,"Co-Lab Nutraceuticals, LLC",15A Domino Lane,828-335-7673,HP 57,Asheville,NC,28806
266,Collective NC LLC,1600 Olive Chapel Road Suite 328,910-231-1179,HP 62,Apex,NC,27502
267,"Commonwealth Extracts, LLC",6900 Riverport Drive Suite D,502-450-6044,HP 63,Louisville,KY,40258
268,Complete Hemp Co.,1508 East Dixon Blvd.,336-707-7908,HP 1063,Shelby,NC,28152
269,Complete Nurture LLC,1324 McEntire Road,828-255-9881,HP 58,Rutherfordton,NC,28139
270,Connoisseur Collective,2902 Pinetree Ct,919-282-7983,HP 942,Durham,NC,27705
271,"Cook, George Stephen",280 Rosecrest Dr.,336-210-2999,HP 561,Mt. Airy,NC,27030
272,Corey Chancellor,6300 Lake Forest Road East,704-712-9526,HP 1216,Charlotte,NC,28227
273,Cortex Associates LLC,73A Laurel Loop,828-206-5970,HP 1211,Asheville,NC,28806
274,Cory David Zellmer,3899  Hwy 213,828-337-4635,HP 825,Marshall,NC,28753
275,"Cottonman.com, LLC",409 Evans Bass Rd.,252-562-4300,HP 1057,Edenton,NC,27932
276,Covalent,4257 Chadbourn Highway,919-825-1400,HP 507,Whiteville,NC,28472
