,LegalName,Address,Mailing Address,Offsite Cultivation Address,Manufacture Address,Phone,Email,License,License Effective,License Expires,Owner / License,Services
10,All Rebel Rockers Inc,"4730 S 48th St, Phoenix, AZ 85040","4455 E Camelback Rd,, Phoenix, AZ 85018",NA,NA,(575) 770-8632,"
arr-kayann@curaleaf.com",00000131ESYX97720376,11/16/2021,3/8/2023,All Rebel Rockers Inc,Retail - Sell
11,Apache County Dispensary LLC,"279 S. Mountain Ave, Springerville, AZ 85938","4121 E. Valley Auto Drive, Mesa, AZ 85206",NA,NA,(720) 588-4112,"
compliance@terrapincarestation.com",00000133ESGJ79432018,4/19/2021,4/18/2023,Apache County Dispensary LLC,NA
12,Arizona Cannabis Society Inc,"8376 N El Mirage Rd Bldg 2 Ste 2, El Mirage, AZ 85335","8376 N El Mirage Rd, El Mirage, AZ 85335",NA,NA,(888) 249-2927,"
damon@arizonacannabissociety.com",00000042ESJB38310180,1/22/2021,1/21/2023,Arizona Cannabis Society Inc,Retail - Sell
13,"Arizona Golden Leaf Wellness, Llc","5390 W Ina Rd, Marana, AZ 85743","9780 N Camino Del Plata, Tucson, AZ 85742",NA,NA,(520) 620-9123,"
goldenleafwellness@naturemedinc.com",00000067ESBS89254298,1/22/2021,1/21/2023,"Golden Leaf Wellness, Llc","Retail - Cultivate
Retail - Sell"
14,Arizona Natural Pain Solutions I,"24905 N 7th Ave, Phoenix, AZ 85085","120 N 44th Street, Phoenix, AZ 85034",NA,NA,(623) 516-7881,"
writejigar@gmail.com",00000096ESWI60030184,1/27/2021,1/26/2023,Arizona Natural Pain Solutions Inc,Retail - Sell
15,Arizona Natures Wellness,"465 Jordan Rd, Sedona, AZ 86336","4340 E Indian School Rd, St 21-580, Phoenix, AZ 85018","1900 E ASH STREET, GLOBE, AZ 85501",NA,(928) 282-8122,"
sedona@infinitebloom.com",00000030ESDG72791381,8/11/2021,1/21/2023,Arizona Natures Wellness,"Cultivation - Process
Cultivation - Manufacture
Cultivation - Cultivate
Retail - Sell"
16,Arizona Organix,"5301 W Glendale Ave, Glendale, AZ 85301","5301 W Glendale Ave, Glendale, AZ 85301",NA,NA,(623) 937-2752,"
arizonaorganix@gmail.com",00000095ESIP13817359,10/29/2021,1/26/2023,Arizona Organix,Retail - Sell
17,"Arizona Wellness Collective 3, Inc","1911 W Broadway Rd 23, Mesa, AZ 85202","1225 W Main St, Ste 101-202, Mesa, AZ 85201",NA,NA,(480) 912-4444,"
conor@novammj.com",00000044ESZW01555573,1/22/2021,1/21/2023,Arizona Wellness Collective 3 Inc,Retail - Sell
18,Az Compassionate Care Inc,"1613 N 40th St, Phoenix, AZ 85008","3190 S Greythorne Way, Chandler, AZ 85248",NA,NA,(602) 275-1279,"
lauren@trumedaz.com",00000076ESON21559195,1/22/2021,1/21/2023,Az Compassionate Care Inc,Retail - Sell
19,"Azgm 3, Inc","7200 W Chandler Blvd Ste 7, Chandler, AZ 85226","107 S Southgate Dr, Chandler, AZ 85226",NA,NA,312-819-5061,"
azlicensing@verano.holdings",00000040ESDX57445071,4/12/2021,1/21/2023,Azgm 3 Inc,Retail - Sell
20,"Border Health, Inc","12338 E Riggs Rd, Chandler, AZ 85249","12338 E Riggs Rd, Chandler, AZ 85249",NA,NA,(602) 644-9188,"
borderhealthmmj@gmail.com",00000022ESMC44584355,8/26/2021,1/21/2023,"Border Health, Inc","Retail - Manufacture
Retail - Cultivate
Retail - Sell"
21,Broken Arrow Herbal Center Inc,"1732 W Commerce Point Pl, Sahuarita, AZ 85614","410 S Madison Dr, Ste 4, Tempe, AZ 85281",NA,NA,(520) 289-8030,"
compliance@hanameds.com",00000102ESWC76772229,1/29/2021,1/28/2023,Broken Arrow Herbal Center Inc,Retail - Sell
22,"Buds & Roses, Inc","5205 E University Dr, Mesa, AZ 85205","3131 E. Camelback Rd. Ste 211, Phoenix, AZ 85016",NA,NA,(480) 865-4407,"
gretab@theflowershopaz.com",00000028ESVU53788832,1/22/2021,1/21/2023,"Buds & Roses, Inc",Retail - Sell
23,Byers Dispensary,"15190 N Hayden Rd, Scottsdale, AZ 85260","1155 W Rio Salado Pkwy, Ste 201, Tempe, AZ 85281",NA,NA,850-508-0261,"
compliance@trulieve.com",00000003ESPF54627423,1/22/2021,1/21/2023,Byers Dispensary Inc,Retail - Sell
24,Cactus Bloom Facilities Management LLC,"436 Naugle Ave, Patagonia, AZ 85624","4426 E Blacklidge Drive, Tucson, AZ 85712",NA,NA,520-982-9212,"
aarrbn@aol.com",00000144ESQK21738687,8/19/2021,4/18/2023,Cactus Bloom Facilities Management LLC,Retail - Sell
25,Cannabis Research Group Inc,"9897 W McDowell Rd #720, Tolleson, AZ 85353","120 North 44th Street, Phoenix, AZ 85034",NA,NA,(480) 420-0377,"
writejigar@gmail.com",00000104ESDH57805022,1/29/2021,1/28/2023,Cannabis Research Group Inc,Retail - Sell
26,"Cardinal Square, Inc","723 N Scottsdale Rd, Tempe, AZ 85281","6710 N Scottsdale Rd, Suite 210, Scottsdale, AZ 85253",NA,NA,520-808-3111,"
cardinalsquare@thepharmaz.com",00000132ESFR75101840,11/23/2021,3/9/2023,Cardinal Health Inc,Retail - Sell
27,Catalina Hills Botanical Care Inc,"2918 N Central Ave, Phoenix, AZ 85012","2918 N Central Ave, Phoenix, AZ 85012",NA,NA,(602) 466-1087,"
cathills_swilcox@curaleaf.com",00000025ESOX62486193,1/22/2021,1/21/2023,Catalina Hills Botanical Care Inc,Retail - Sell
28,Cjk Inc,"3411 E Corona Ave, Phoenix, AZ 85040","410 S Madison Dr, Tempe, AZ 85281",NA,NA,602 491-0420,"
compliance@hanameds.com",00000106ESEU57773093,6/1/2021,2/1/2023,Cjk Inc,Retail - Sell
29,Compassionate Care Of Az Inckompo Care,"600 S Centennial Blvd, Taylor, AZ 85939","6122 N 7th Street, Phoenix, AZ 85014","3895 N Main St, Snowflake, AZ 85937",NA,(928) 536-5151,"
leonardd@verdantvp.com",00000091ESHS96689917,5/6/2021,1/24/2023,"Compassionate Care Of Az, Inc","Cultivation - Cultivate
Retail - Sell"
30,Copper State Herbal Center Inc,"6205 N Travel Center Dr, Tucson, AZ 85741","6336 N Oracle Rd Ste 326-167, Tucson, AZ 85704","3755 W Houser Rd., Eloy, AZ 85131","2901 N El Burrito Ave, Tucson, AZ 85007",(520) 395-0230,"
copperstatehc@live.com",00000127ESET80222360,10/22/2021,3/3/2023,Copper State Herbal Center Inc,"Cultivation - Cultivate
Retail - Cultivate
Retail - Sell
Manufacture - Manufacture
Manufacture - Prepare Edibles"
31,"CSI Solutions, Inc.","14980 N 78th Way, Scottsdale, AZ 85260","14980 N 78th Wy, Ste 204, Scottsdale, AZ 85260",NA,NA,480-420-3300,"
tbeyer@beyermanagement.com",00000012ESIS11195422,4/8/2021,1/21/2023,Csi Solutions Llc,Retail - Sell
32,Desert Medical Campus Inc,"10040 N. Metro Parkway W, Phoenix, AZ 85051","15679 N 83rd Way #8, Scottsdale, AZ 85260","9528 Hot Springs Rd, Eden, AZ 85535",NA,602-870-8700,"
info@uncleherbsaz.com",00000038ESPN59181329,10/15/2021,1/21/2023,"Desert Medical Campus, Inc","Cultivation - Process
Cultivation - Manufacture
Cultivation - Cultivate
Retail - Sell"
33,"Desertview Wellness & Healing Solutions, LLC","7121 N Hwy 89, Flagstaff, AZ 86004","3820 W Happy Valley Rd. Ste 141-142, Glendale, AZ 85310",NA,NA,(928) 522-6337,"
arvinaz@gmail.com",00000077ESTT45790153,1/22/2021,1/21/2023,"Desertview Wellness & Healing Solutions, LLC",Retail - Sell
34,Devine Desert Healing Inc,"17201 N 19th Ave, Phoenix, AZ 85023","17201 N 19th Ave, Phoenix, AZ 85023",NA,NA,(602) 388-4400,"
devined_swilcox@curaleaf.com",00000026ESRZ88769978,1/22/2021,1/21/2023,"Devine Desert Healing, Inc.",Retail - Sell
35,Dreem Green Inc,"2424 S. 24th St, Phoenix, AZ 85034","2424 S. 24th St, Phoenix, AZ 85034",NA,NA,(602) 675-6999,"
ronnie.kassab@jarscannabis.com",00000078ESQG10647381,3/8/2021,1/21/2023,Dreen Green Inc,Retail - Sell
36,Earth's Healing Inc,"2075 E Benson Hwy, Tucson, AZ 85714","1 South Church, Ste 1120, Tucson, AZ 85701",NA,NA,(520) 373-5779,"
eh@earthshealing.org",00000112ESWR37460976,2/22/2021,2/21/2023,Earth's Healing Inc,Retail - Sell
37,East Valley Patient Wellness Group Inc,"13650 N 99th Ave, Sun City, AZ 85351","5090 N 40th St, Ste 170, Phoenix, AZ 85018",NA,NA,(623) 246-8080,"
rap.evpwg@cox.net",00000019ESXY11403163,1/22/2021,1/21/2023,East Valley Patient Wellness Group Inc,Retail - Sell
38,Eba Holdings Inc.,"8729 E Manzanita Dr, Scottsdale, AZ 85258","8729 E Manzanita Dr, Scottsdale, AZ 85258","2832 N Omaha, Mesa, AZ 85215",NA,(480) 991-3752,"
toml@medmen.com",00000068ESZM96727661,4/12/2021,1/21/2023,"Eba Holdings, Inc.","Cultivation - Manufacture
Cultivation - Cultivate
Cultivation - Prepare Edibles
Retail - Sell"
39,Encanto Green Cross Dispensary,"2620 W Encanto Blvd, Phoenix, AZ 85009","2 N Central Ave, 15th Floor Attn; Lindsay Schube, Phoenix, AZ 85004",NA,NA,(888) 633-7411,"
cbil@crescolabs.com",00000101ESZO30906924,1/29/2021,1/28/2023,Encanto Green Cross Dispensary,Retail - Sell
40,FJM Group LLC,"709 W Main St, Quartzsite, AZ 85346","1517 N Wilmot #115, Tucson, AZ 85712",NA,NA,(520) 907-2181,"
azdhs@zemail.com",00000141ESYC13235553,4/19/2021,4/18/2023,FJM Group LLC,NA
41,Forever 46 Llc,"221 E 6th St Ste 105, Tucson, AZ 85705","221 E 6th St, Ste 105, Tucson, AZ 85705",NA,NA,(520) 838-0492,"
downtowndispensary@icloud.com",00000126ESDQ50929013,3/3/2021,3/2/2023,Forever 46 Llc,Retail - Sell
42,"Formula 420 Cannabis, LLC","408-31-023; 408-31-022H, & 408-31-024A, Douglas, AZ 85607","3089 W Yellow Peak Drive, San Tan Valley, AZ 85142",NA,NA,480-677-1755,"
kimberlyjwagner@gmail.com",00000135ESGE19332725,4/26/2021,4/18/2023,"Formula 420 Cannabis, LLC",NA
43,"Fort Consulting, Llc","12620 N Cave Creek Rd Ste 1, Phoenix, AZ 85022","1341 W Industrial Dr, Coolidge, AZ 85128",NA,NA,312-819-5061,"
azlicensing@verano.holdings",00000064ESAK09838873,4/22/2021,1/21/2023,"Fort Consulting, Llc",Retail - Sell
44,"Fort Mountain Consulting, Llc","Apn 501-47-012q, El Mirage, AZ 85335","1155 W Rio Salado Pkwy, Tempe, AZ 85281",NA,NA,770-330-0831,"
compliance@trulieve.com",00000016ESBY46918805,1/22/2021,1/21/2023,"Fort Mountain Consulting, Llc",NA
45,Fwa Inc,"790 N Lake Havasu Ave #4, Lake Havasu City, AZ 86404","2639 N 31st Avenue, Phoenix, AZ 85009",NA,NA,(928) 733-6339,"
compliance@thefarmaz.com",00000062ESGQ60020478,1/22/2021,1/21/2023,Fwa. Inc.,Retail - Sell
46,G.T.L. Llc,"5210 S Priest Dr, Guadalupe, AZ 85283","5210 S Priest Dr, Guadalupe, AZ 85283",NA,NA,(480) 749-6468,"
compliance@brightroot.com",00000034ESEZ92106085,1/22/2021,1/21/2023,G.T.L. Llc,Retail - Sell
47,"Gila Dreams X, LLC","200 N Tonto St, Payson, AZ 85541","15679 N 83rd Way, Scottsdale, AZ 85260",NA,NA,480-363-3284,"
pam@pameladonner.com",00000137ESPF58509627,4/19/2021,4/18/2023,"Gila Dreams X, LLC",NA
48,Globe Farmacy Inc,"78 W River Rd, Tucson, AZ 85704","1 South Church, Ste 1120, Tucson, AZ 85701",NA,NA,(520) 395-1432,"
gfi@earthshealing.org",00000108ESND56774062,2/5/2021,2/4/2023,Globe Farmacy Inc,Retail - Sell
49,Green Desert Patient Center Of Peoria,"9275 W Peoria Ave, Ste 104, Peoria, AZ 85345","1155 W Rio Salado Pkwy, Tempe, AZ 85281","5655 E Gaskill Rd, Wilcox, AZ 85643",NA,850-559-7734,"
compliance@trulieve.com",00000082ESUB29429633,1/22/2021,1/21/2023,Green Desert Patient Center Of Peoria,"Cultivation - Cultivate
Retail - Sell"
50,Green Hills Patient Center Inc,"3191 S White Mountain Rd Ste A, Show Low, AZ 85901","15679 N 83rd Way Ste 8, Scottsdale, AZ 85260",NA,NA,(928) 537-4888,"
pam@pameladonner.com",00000103ESEK38100955,1/29/2021,1/28/2023,Green Hills Patient Center Inc,Retail - Sell
51,Green Medicine,"112 S Kolb Rd, Tucson, AZ 85710","112 S Kolb Rd, Tucson, AZ 85710",NA,NA,(520) 886-1003,"
roubenaz@gmail.com",00000094ESMX02282810,1/27/2021,1/26/2023,Green Medicine,Retail - Sell
52,Green Sky Patient Center Of Scottsdale,"7320 E Butherus Dr Ste 100, Scottsdale, AZ 85260","1155 W Rio Salado Pkwy, Tempe, AZ 85281","2512 E Magnolia St, Phoenix, AZ 85034",NA,850-559-7734,"
compliance@trulieve.com",00000081ESLT56066782,1/22/2021,1/21/2023,Green Sky Patient Center Of Scottsdale North Inc,"Cultivation - Manufacture
Cultivation - Cultivate
Cultivation - Prepare Edibles
Retail - Sell"
53,"Greenmed, Inc","6464 E Tanque Verde Rd, Tucson, AZ 85715","9420 E Golf Links Rd. Ste 285, Tucson, AZ 85730","801 E 47th St, Tucson, AZ 85713",NA,(520) 886-2484,"
pooljim@gmail.com",00000113ESLZ23317951,11/15/2021,2/21/2023,Greenmed Inc,"Cultivation - Cultivate
Retail - Sell"
54,"Greens Goddess Products, Inc","2601 W. Dunlap Avenue, Phoenix, AZ 85017","5060 N 40th St, Ste 120, Phoenix, AZ 85018",NA,NA,(602) 900-4557,"
dthomas@aeriz.com",00000061ESIG65334270,7/1/2021,1/21/2023,"Greens Goddess Products, Inc",Retail - Sell
55,Healing Healthcare 3 Inc,"1040 E Camelback Rd, Ste A, Phoenix, AZ 85014","1040 E Camelback Rd Ste A, Phoenix, AZ 85014",NA,NA,(602) 354-3094,"
healingh_swilcox@curaleaf.com",00000020ESEN67630727,1/22/2021,1/21/2023,Healing Healthcare 3 Inc,Retail - Sell
56,Health For Life Inc,"7343 S 89th Pl, Mesa, AZ 85212","7343 S 89th Pl, Mesa, AZ 85212",NA,NA,(480) 888-0247,"
michelleqwest@aim.com",00000118ESDH66162163,2/23/2021,2/22/2023,"Health For Life, Inc.",Retail - Sell
57,Herbal Wellness Center Inc,"4126 W Indian School Rd, Phoenix, AZ 85019","4126 W Indian School Rd, Phoenix, AZ 85019",NA,NA,602-910-4152,"
hwccompliance@vextscience.com",00000032ESPT83532730,1/22/2021,1/21/2023,Herbal Wellness Center Inc,Retail - Sell
58,High Desert Healing Llc,"13433 E. Chandler Blvd. Suite A, Chandler, AZ 85225","1155 W Rio Salado Pkwy, St. Ste 200ste 201, Tempe, AZ 85281","770 E Evans Blvd, Tucson, AZ 85713",NA,954-817-2370,"
compliance@trulieve.com",00000007ESWD35270682,1/22/2021,1/21/2023,High Desert Healing Llc,"Cultivation - Cultivate
Retail - Sell"
59,High Desert Healing Llc,"3828 S Vermeersch Rd, Avondale, AZ 85323","1155 W Rio Salado Pkwy, Ste 201, Tempe, AZ 85281","13454 N Black Canyon Highway, Phoenix, AZ 85029",NA,954-817-2370,"
compliance@trulieve.com",00000014ESNA15249640,1/22/2021,1/21/2023,High Desert Healing Llc,"Cultivation - Cultivate
Retail - Sell"
60,"High Mountain Health, Llc","1250 S Plaza Way Ste A, Flagstaff, AZ 86001","1250 S Plaza Way, Ste A, Flagstaff, AZ 86001",NA,NA,(928) 774-5467,"
kat@highmountainhealth.org",00000087ESWR93327597,1/22/2021,1/21/2023,"High Mountain Health, Llc",Retail - Sell
61,Holistic Patient Wellness Group,"1322 N Mcclintock Dr, Tempe, AZ 85281","5090 N 40th St Ste 170, Phoenix, AZ 85018",NA,NA,(480) 795-6363,"
armar@cox.net",00000015ESEM68131310,1/22/2021,1/21/2023,Holistic Patient Wellness Group,Retail - Sell
62,Jamestown Center,"4340 E 32nd St, Yuma, AZ 85365","4340 E 32nd St, Yuma, AZ 85365",NA,NA,(928) 344-1735,"
susan.hwang86@gmail.com",00000045ESYU34105986,1/22/2021,1/21/2023,Jamestown Center,Retail - Sell
63,Jamestown Center,"1962 N. Higley Rd, Mesa, AZ 85205","1962 N Higley Rd, Mesa, AZ 85205",NA,NA,623-264-2378,"
susan.hwang86@gmail.com",00000046ESTW28902560,8/2/2021,1/21/2023,Jamestown Center,Retail - Sell
64,K Group Partners Llc,"11200 W Michigan Ave Ste 5, Youngtown, AZ 85363","11200 W Michigan Ave Ste 5, Youngtown, AZ 85363",NA,NA,(623) 444-5977,"
kgroup_swilcox@curaleaf.com",00000029ESAA16670843,1/22/2021,1/21/2023,"K Group Partners, Llc",Retail - Sell
65,Kannaboost Technology Inc,"2424 W University Dr, Tempe, AZ 85281","2424 W University Dr, Tempe, AZ 85281",NA,NA,480-644-2071,"
tbeyer@beyermanagement.com",00000048ESNO41782628,1/22/2021,1/21/2023,Kannaboost Technology Inc,Retail - Sell
66,Kind Meds Inc,"2152 S Vineyard St Ste 120, Mesa, AZ 85210","2152 S Vineyard St, Ste 120, Mesa, AZ 85210",NA,NA,(480) 686-9302,"
jasonechacon@yahoo.com",00000088ESUZ76069650,1/25/2021,1/24/2023,Kind Meds Inc,Retail - Sell
67,Kwerles Inc,"2017 W. Peoria Avenue, Suite A, Phoenix, AZ 85029","1155 W Rio Salado Pkwy Ste 201, Tempe, AZ 85281",NA,NA,850-508-0261,"
compliance@trulieve.com",00000005ESIN89499585,7/12/2021,1/21/2023,Kwerles Inc,"Retail - Manufacture
Retail - Sell
Retail - Prepare Edibles"
68,Lawrence Health Services LLC,"448 N Broad St, Globe, AZ 85501","4121 E. Valley Auto Dr., Mesa, AZ 85206",NA,NA,(928) 606-3881,"
alimetzger88@gmail.com",00000136ESTJ56415147,4/19/2021,4/18/2023,Lawrence Health Services LLC,NA
69,"Legacy & Co., Inc.","46639 N Black Canyon Hwy 1-2, New River, AZ 85087","46639 N Black Canyon Hwy, Suites 1 & 2, New River, AZ 85087",NA,NA,(623) 936-9333,"
ronnie.kassab@jarscannabis.com",00000079ESTS64678211,1/22/2021,1/21/2023,"Legacy & Co., Inc.",Retail - Sell
70,Medical Pain Relief Inc,"1860 E Salk Dr Ste B-1, Casa Grande, AZ 85122","1155 W Rio Salado Pkwy Ste 201, Tempe, AZ 85281","1101 N 21st Ave, Phoenix, AZ 85009",NA,850-508-0261,"
compliance@trulieve.com",00000010ESIR42914838,1/22/2021,1/21/2023,Medical Pain Relief,"Cultivation - Cultivate
Retail - Sell"
71,Medmar Tanque Verde Llc,"8060 E 22nd St Ste 108, Tucson, AZ 85710","8060 E 22nd St Ste 108, Tucson, AZ 85710",NA,NA,(520) 886-7160,"
aarrbn@aol.com",00000039ESEZ33667642,1/22/2021,1/21/2023,Medmar Tanque Verde Llc,Retail - Sell
72,MK Associates LLC,"150-03-566, Nogales, AZ 85621","3303 S 40th Street, Phoenix, AZ 85040",NA,NA,(703) 915-2159,"
exec@growsciences.com",00000143ESKB17654619,4/19/2021,4/18/2023,MK Associates LLC,NA
73,Mmj Apothecary,"2 N. 35th Avenue, Phoenix, AZ 85009","3101 N Central Avenue, Ste 670, Phoenix, AZ 85012",NA,NA,(928) 684-8880,"
pdavis@jsheld.com",00000100ESEC12878172,1/29/2021,1/28/2023,Mmj Apothecary,"Retail - Manufacture
Retail - Cultivate
Retail - Sell
Retail - Prepare Edibles"
74,"Mohave Cannabis Club 1, LLC","3550 N Lane, St 110, Bullhead City, AZ 86442","Po Box 8513, Fort Mohave, AZ 86427",NA,NA,(928) 768-4665,"
mcc1@mohavecannabis.com",00000098ESAA47054477,9/7/2021,1/27/2023,Herbal Assist Inc,Retail - Sell
75,"Mohave Cannabis Club 2, LLC","20340 N Lake Pleasant Rd. Ste 107, Peoria, AZ 85382","4121 E Valley Auto Dr. Ste 120, Mesa, AZ 85206",NA,NA,(623) 218-6148,"
mcc2@mohavecannabis.com",00000119ESKK32735375,9/7/2021,2/25/2023,"Devine River Healing, Inc.",Retail - Sell
76,"Mohave Cannabis Club 3, LLC","20224 N 27th Ave, Ste 103, Phoenix, AZ 85027","4121 E Valley Auto Dr. Ste 120, Mesa, AZ 85206",NA,NA,(800) 332-2437,"
mcc3@mohavecannabis.com",00000122ESRN95872973,9/7/2021,2/28/2023,Flower River Consulting Llc,Retail - Sell
77,"Mohave Cannabis Club 4, LLC","6148 N 7th St Ste C, Phoenix, AZ 85014","4121 E Valley Auto Dr. Ste 120, Mesa, AZ 85206",NA,NA,(928) 303-5966,"
mcc4@mohavecannabis.com",00000107ESVJ79465811,9/7/2021,2/2/2023,"Devine Herbal Healing, Inc",NA
78,"Mohave Valley Consulting, Llc","1625 N 51st Ave, Phoenix, AZ 85035","1155 W Rio Salado Pkwy, Tempe, AZ 85281",NA,NA,770-330-0831,"
compliance@trulieve.com",00000017ESMI32133238,1/22/2021,1/21/2023,"Mohave Valley Consulting, Llc",NA
79,Natural Herbal Remedies Inc,"3333 S Central Ave, Phoenix, AZ 85040","3333 S Central Ave, Phoenix, AZ 85040",NA,NA,(480) 739-0366,"
naturalh_swilcox@curaleaf.com",00000058ESFA63267513,1/22/2021,1/21/2023,"Natural Herbal Remedies, Inc.","Retail - Cultivate
Retail - Sell"
80,Natural Relief Clinic Inc,"2841 W Thunderbird Rd, Phoenix, AZ 85032","201 S 36 St, Phoenix, AZ 85034",NA,NA,(602) 539-2828,"
carsten@naturalreliefclinic.org",00000073ESED95493026,1/22/2021,1/21/2023,Natural Relief Clinic Inc,Retail - Sell
81,Natural Relief Clinic Inc,"4456 E Thomas Road, Phoenix, AZ 85018","201 S 36 St, Phoenix, AZ 85034","201 S 36th St, Phoenix, AZ 85034",NA,(520) 686-8708,"
carsten@naturalreliefclinic.com",00000066ESUJ44186931,1/22/2021,1/21/2023,Natural Relief Clinic Inc,"Cultivation - Manufacture
Cultivation - Cultivate
Cultivation - Prepare Edibles
Retail - Sell"
82,Natural Remedy Patient Center,"1362 W Thatcher Blvd, Safford, AZ 85546","P.O. Box 869, Chino Valley, AZ 86323",NA,NA,(928) 432-6959,"
chad@hsbpermian.com",00000125ESMC92036121,3/3/2021,3/2/2023,Natural Remedy Patient Center,Retail - Sell
83,Nature Med Inc,"1821 W Baseline Rd, Guadalupe, AZ 85283","1155 W Rio Salado Pkwy, Ste 201, Tempe, AZ 85281","300 E Cherry St, Cottonwood, AZ 86326",NA,850-508-0261,"
compliance@trulieve.com",00000056ESPE92908314,1/22/2021,1/21/2023,Nature Med Inc,"Cultivation - Cultivate
Retail - Sell"
84,Nature's Healing Center Inc,"3155 E Mcdowell Rd Ste 2, Phoenix, AZ 85008","3131 E. Camelback Rd. Ste 211, Phoenix, AZ 85016",NA,NA,(480) 865-4407,"
gretab@theflowershopaz.com",00000041ESLU31226658,8/16/2021,1/21/2023,Nature's Healing Center Inc,Retail - Sell
85,Nature's Healing Center Inc,"10827 S 51st St, Ste 104, Phoenix, AZ 85044","3131 E Camelback Rd. Ste 211, Phoenix, AZ 85016",NA,NA,(480) 865-4407,"
gretab@theflowershopaz.com",00000031ESCS44452076,1/22/2021,1/21/2023,Nature's Healing Center Inc,"Cultivation - Cultivate
Retail - Sell"
86,Nature's Wonder Inc,"260 W Apache Trail Dr, Apache Junction, AZ 85120","10645 N Tatum Blvd, Ste C200-312, Phoenix, AZ 85028","2960 West Grand Avenue, Phoenix, AZ 85017",NA,(480) 982-1529,"
carnold@afgmanagement.net",00000075ESJK64208740,5/17/2021,1/21/2023,Nature's Wonder Inc,"Cultivation - Cultivate
Retail - Sell"
87,Non Profit Patient Center Inc,"6812 E Cave Creek Rd Ste #3, Cave Creek, AZ 85331","111 W Monroe St #1216, Phoenix, AZ 85003",NA,NA,(480) 488-2979,"
dhs@nppcinc.com",00000037ESIX56363099,1/22/2021,1/21/2023,Non Profit Patient Center Inc,Retail - Sell
88,"Ocotillo Vista, Inc.","6676 West Bell Road, Glendale, AZ 85308","8830 S Hardy Drive, Tempe, AZ 85284",NA,NA,(480) 999-7762,"
chaa45@oasiscannabisaz.com",00000051ESYP04501588,1/22/2021,1/21/2023,"Ocotillo Vista, Inc.",Retail - Sell
