,Lab Name,City,State,Lab Location,Phone Number,Contact,Email
29,GAAS Analytical (GAAS Corporation)  ,Tucson             ,Arizona            ,"245 S. Plumer Ave., Suite #5 Tucson ,AZ85719,United States",(520) 975-0411 ,Aniko Solyom ,asolyom@gaasanalytical.com
30,Global Laboratory Services ,Wilson            ,North Carolina            ,"2107 Black Creek RoadWilson,NC27893,United States",252-234-4950,Kim Hesse,hessek01@globallaboratory.com
31,Great Lakes Labs  ,Valparaiso            ,Indiana            ," 1051 Transport Dr. Valparaiso,IN46383,United States",(219) 464-8885 ,Michelle M. Volk ,mmvolk@gl-labs.com
32,Green Wave Analytical  ,San Diego             ,California            ,"10366 Roselle Street, Suite BSan Diego ,CA92121,United States",(858) 535-9979,Jim Polansky,jpolansky@ecalab.com
33,"Harrens Lab, Inc. ",Hayward            ,California            ,"3507 Breakwater Ave.Hayward,CA94545,United States",(510) 887-8885,Tony Zheng,Tony@harrenslab.com
34,Impact Analytical ,Midland            ,Michigan            ,"1940 North Stark RoadMidland,MI48642,United States",(855) 427-6583,Neil Chapman,Chapman@impactanalytical.com
35,Industrial Laboratories  ,Wheat Ridge             ,Colorado            ,"4046 Youngfield St Wheat Ridge ,CO80033,United States",(303) 287-9691 ,Kathie Inman ,sales@industriallabs.net
36,"Institute for Environmental Health, Inc. dba IEH Analytical Laboratories ",Seattle            ,Washington            ,"3927 Aurora Avenue NorthSeattle,WA98103,United States",206-632-2715,"Damien Gadomski, Ph.D., Laboratory Director",info@iehinc.com
37,Ionization Labs ,Austin            ,Texas            ,"3636 Dime Circle, Ste. AAustin,TX78744,United States",512-200-4505,"Alex Andrawes, CEO",labservices@ionizationlabs.com
38,Kansas State University - Olathe ,Olathe            ,Kansas            ,"22201 W Innovation DriveOlathe,KS66061,United States",913-307-7393,"Patrick Abeli, Assistant Scientist/Lab Manager",ksuhemp@ksu.edu
39,Kaycha Labs ,Knoxville            ,Tennessee            ,"10427 Cogdill Road, #500Knoxville,TN37932,United States",833-465-8378,"Sue Ferguson, Laboratory Director",sue@kaychalabs.com
40,KCA Laboratories ,Nicholasville            ,Kentucky            ,"232 North Plaza DriveNicholasville,KY40356,United States",(833) 522-5227 ,Christopher Ware ,trustedresults@kcalabs.com
41,"Kennebec Analytical Services, LLC ",Lincoln            ,Nebraska            ,"3800 S 6th StreetLincoln,NE68502,United States",402-413-9796,"Concetta C. DiRusso, Ph.D., President/CEO",concetta@kennebecanalytical.com
42,"KVK Tech, Inc.  ",Newtown            ,Pennsylvania            ,"110 Terry Dr. Newtown,PA18940,United States",215-579-1842,Ashvin Panchal,AP@KVKTech.com
43,"MD Toxicology Group, LLC ",San Antonio            ,Texas            ,"11827 Starcrest Drive San Antonio,TX78247,United States",(210) 236-5377,Mark Nickle,Mark@MDtoxi.com
44,Michigan Department of Agriculture & Rural Development Geagley Laboratory ,East Lansing             ,Michigan            ,"1615 South Harrison RoadEast Lansing ,MI48823,United States",517-643-5819,Jordan Polaskey,PolaskeyJ@michigan.gov
45,Mississippi State Chemical Laboratory ,Mississippi State            ,Mississippi            ,"310 Presidents CircleMississippi State,MS39762,United States", 662-325-3324 or 662-325-3428 ,"Ashley Meredith, Director of Industrial and Agricultural Services",info@mscl.msstate.edu
46,MRIGlobal ,Kansas City            ,Missouri            ,"425 Volker BoulevardKansas City,MO64110,United States",NA,Desmond Slade,dslade@mriglobal.org
47,"Nelson Labs, LLC ",Salt Lake City            ,Utah            ,"6280 South Redwood RoadSalt Lake City,UT84123,United States",801-290-7547 ,Kathy Hayes,khayes@nelsonlabs.com
48,New Bloom Labs  ,Chattanooga            ,Tennessee            ,"6121 Heritage Park Drive, Suite A500Chattanooga,TN37409,United States",(844) 837-8223,John L. Kerns,info@newbloomlabs.com
49,NMS Labs - BUX ,Warminister            ,Pennsylvania            ,"850 Eagle BoulevardWarminister,PA18974,United States",215-366-1214,Michelle Dyson,michelle.dyson@nmslabs.com
50,NMS Labs - DFW ,Gran Prairie            ,Texas            ,"2302 113th Street, Suite 200Gran Prairie,TX75050,United States",215-366-1214,Michelle Dyson,michelle.dyson@nmslabs.com
51,NMS Labs - ELP , El Paso            ,Texas            ,"911 N Raynor Street El Paso,TX79903,United States",215-366-1214,Michelle Dyson,michelle.dyson@nmslabs.com
52,NMS Labs - WIN ,Winston-Salem            ,North Carolina            ,"1200 N Patterson AvenueWinston-Salem,NC27101,United States", 215-366-1214,Michelle Dyson,michelle.dyson@nmslabs.com
53,NMS Labs - WLG ,Willow Grove            ,Pennsylvania            ,"2300 Stratford AvenueWillow Grove,PA19090,United States",215-366-1214,Michelle Dyson,michelle.dyson@nmslabs.com
54,"North Coast Analytical Laboratories, LLC  ",Streetsboro            ,Ohio            ,"10100 Wellman Road Streetsboro,OH44241,United States",(234) 212-1860,David A. Moorhead,info@northcoastanalytical.com
55,North Dakota State University ,Fargo            ,North Dakota            ,"Loftsgard Hall 166, 1360 Albrecht Blvd. N.Fargo,ND58102,United States",(701) 231-9450,Bingcan Chen,bingcan.chen@ndsu.edu
56,NSF International  ,Ann Arbor            ,Michigan            ,"789 North Dixboro Road Ann Arbor,MI48105,United States",(734) 418-6634,Jesse D. Miller ,jdmiller@nsf.org
57,Product Development Partners LLC  ,Tampa            ,Florida            ,"6291 West Linebaugh Ave Tampa,FL33625,United States",(813) 908-6775x103 ,Keith Whitehead,kwhitehead@pa-labs.com
58,PureLabs OKC ,Oklahoma City            ,Oklahoma            ,"8807 South Santa Fe AvenueOklahoma City,OK73139,United States",405-885-6411,"Hal Purdy, Owner",hpurdy@purelabsokc.com
59,Purisys ,Athens            ,Georgia            ,"1550 Olympic DriveAthens,GA30601,United States",Haynes: (706) 286-8241 or (706) 255-9950 ; Hoerner: (706) 286-8234 or (518) 605-0401,Amanda Haynes or Joshua Hoerner,ahaynes@purisys.com
60,Quality Forensic Toxicology ,San Antonio             ,Texas            ,"4726 Shavano Oak, Suite 105San Antonio ,TX78249,United States",(210) 463-9191,Corey Walker,cwalker@qftox.com
61,RADE LLC ,Louisville            ,Kentucky            ,"201 E. Jefferson StreetLouisville,KY40202,United States",502-373-3360,"Shannon Salinski, Compliance Manager",management@radellc.org
62,"Research Triangle Park Laboratories, Inc.  ",Raleigh            ,North Carolina            ,"7201 ACC Boulevard, Suite 104 Raleigh,NC27617,United States",(919) 510-0228,Alston Sykes,customerservice@rtp-labs.com
63,"Rocky Mountain Instrumental Laboratories, Inc.  ",Colorado             ,Colorado            ,"108 Coronado CourtColorado ,CO80525,United States",(970) 266-8108,Tim Jackus,office@rockylab.com
64,"S&N Labs, Inc. ",Santa Ana            ,California            ,"2021 East 4th Street, Suite 112Santa Ana,CA92705,United States",(714) 543-2211,Neil Spingarn,chemist@snlabs.com
65,Sante Laboratories ,Austin            ,Texas            ,"8201 East Riverside DriveAustin,TX78744,United States",737-234-5959,"Mike Sandoval, President",Mike.S@santelabs.com
66,"Sativa Testing Laboratories, LLC ",Powhatan            ,Virginia            ,"1551 Oakbridge Drive, Suite APowhatan,VA23139,United States",804-220-1122,Brandon Thorpe,info@sativatest.com
67,"SIRFER Lab, University of Utah ",Salt Lake City             ,Utah            ,"School of Biological Sciences, 257 South 1400 EastSalt Lake City ,UT84112,United States",(801) 581-7623 or (801) 581-5927,James Ehleringer,jim.ehleringer@utah.edu
68,"SJ Labs and Analytics, LLC ",Macon            ,Georgia            ,"885 Walnut StreetMacon,GA31201,United States",478-259-7564,"Sarah Johnson, Owner/Scientific Director",sarah.johnson@sjlabsandanalytics.com
69,Summit Analytical ,Gilford            ,New Hampshire            ,"36 Country Club RoadGilford,NH03249,United States",262-501-0869,"Dr. Terrill Clayton, Chief Scientific Officer",terry@summit-analytical.com
70,Terramor Technologies ,Island Pond            ,Vermont            ,"PO Box 420Island Pond,VT05846,United States",802-635-2222,Erik Somoroff,erik@terramortechnologies.com
71,"Think20 Labs, LLC ",Columbia            ,Maryland            ,"9730 Patuxent Woods Drive, Suite 300Columbia,MD21046,United States",NA,Steve Donofrio,steve.donofrio@think20labs.com
72,Trichome Analytical ,Mt. Laurel            ,New Jersey            ,"6000 Commerce ParkwayMt. Laurel,NJ08054,United States",856-316-0600,"Eric Snyder, CEO",info@trichomeanalytical.com
73,"Universal Diagnostics, LLC ",Mt. Washington            ,Kentucky            ,"673 North Bardstown RoadMt. Washington,KY40047,United States",(502) 444-2044,Daniel Burriss,d.burriss@ud-labs.com
74,"US Pharma, Ltd. ",Miami Lakes             ,Florida            ,"13900 NW 57th Court Miami Lakes ,FL33014,United States","(305) 698-4600, extension 4711",Nahomie Myrtil ,nahomie.myrtil@uspharmaltd.com
75,"Waters Agricultural Laboratories, Inc. ",Camilla            ,Georgia            ,"257 Newton RoadCamilla,GA31730,United States","229-336-7216, Fax: 229-336-0977","Keith Dominey, CEO",info@watersag.com
76,"XenoBiotic Laboratories, Inc. | WuXi AppTec ",Plainsboro            ,New Jersey            ,"107 Morgan LanePlainsboro,NJ08536,United States",(609) 606-6620,"Dennis Heller, Ph.D.",dennis_heller@wuxiapptec.com
77,ZOSI Analytical ,Georgetown            ,Texas            ,"111 Cooperative WayGeorgetown,TX78626,United States",607-379-4565 ,"Amy Lummus, CEO/President",alummus@zosianalytical.com
